item_id,language_pair,task_family,transition,rtt_transition,content_ftga,contract_ftga,content_rtt,contract_rtt,content_token_tax,contract_token_tax,content_first_failure_types,contract_first_failure_types,content_first_response_excerpt,contract_first_response_excerpt
hi_en_SC_008,hi-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Yeh document ""Visitor Guidelines"" ke saath shuru hota hai, jo mehmaanon ke liye niyam batata hai. Iske baad ""Check-In Desk"" ka zikr hota hai, jahan mehmaan apni entry karte hain.","""Visitor Guidelines"" ke baad ""Check-In Desk"" ki list di gayi hai."
hi_en_SC_009,hi-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Yeh document ""Account Settings"" ke baad ""Password Reset"" ko list karta hai.","""Account Settings"" aur ""Password Reset"" ke beech mein, document mein ""Account Settings"" ko pehle list kiya gaya hai."
hi_en_SC_010,hi-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Yeh document ""Health Benefits"" ke baare mein jankari deta hai, jisme health se judi suvidhaon ke fayde bataye gaye hain. Iske baad ""Enrollment Form"" diya gaya hai, jisme vyakti...","""Health Benefits"" ke baad ""Enrollment Form"" se pehle, yeh document health benefits ke baare mein jankari deta hai. Ismein health se judi suvidhaon ke fayde aur enrollment proces..."
hi_en_SD_001,hi-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Theek hai, maine ₹500 jama kiye hain. Kal receipt bhej dunga.","Theek hai, maine ₹500 pay kiye hain. Kal receipt bhej dunga."
hi_en_SD_002,hi-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Haan, meeting 05/07/2026 ko hi hai. Kripya date format na badlein.","Haan, meeting 05/07/2026 ko hi hai. Kripya date format na badlein."
hi_en_SD_003,hi-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Haan, booking code ABC-17 sahi hai. Main lunch ke baad aaunga.","Theek hai, ABC-17 sahi hai. Main lunch ke baad aaunga."
hi_en_SD_004,hi-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Haan, bilkul. Order Mira Rao ke naam se hi rakha jayega.","Haan, Mira Rao ke naam se order rakh sakte hain."
hi_en_SD_005,hi-en,script_register_locale,contract_only_pass,contract_lower_rtt,0,1,1,0,2.234,1.0,wrong_output_language,,The file name draft_v2.pdf should stay unchanged.,"Theek hai, draft_v2.pdf file ka naam badalna nahi hai."
hi_en_SD_006,hi-en,script_register_locale,contract_only_pass,contract_lower_rtt,0,1,1,0,2.271,1.0,wrong_output_language,,"Haan, please 10:30 AM pe move kar dein, appointment number INV-2048 same hi rahega.","Haan, INV-2048 ke appointment number ko badle bina, kya aap meri visit 10:30 AM par kar sakte hain?"
hi_en_SD_007,hi-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Theek hai, box Apt 5B par chhod dena aur aate hi call karna.","Theek hai, box Apt 5B par chhod dena aur aate hi call karna."
hi_en_SD_008,hi-en,script_register_locale,both_fail,content_lower_rtt,0,0,1,3,2.231,3.48,preservation_failure,preservation_failure,"Sure! Here's a short WhatsApp reply in Hindi, Latin script: ""Hello, HR. Main 12 June se shuru kar sakta hoon. Employee ID QR-77 wahi rahegi. Dhanyavaad.""","Sure! Here's a short WhatsApp reply in Hindi using Latin script: ""Hello, HR. Main 12 June se shuru kar sakta hoon. Employee ID QR-77 wahi rahegi. Dhanyavaad."""
hi_en_SD_009,hi-en,script_register_locale,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.197,,wrong_output_language,"Please, bank, Travel_Fund ko waise hi rakhna jaise likha hai.","Please keep the account label as ""Travel_Fund"" exactly as written."
hi_en_SD_010,hi-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Haan, pickup window 2-4 PM hai aur order code BK-903 hai.","Sure, pickup window 2-4 PM hai aur order code BK-903 hai."
