item_id,model_generation,model,condition,language_pair,task_family,ftga,rtt,unresolved,first_turn_tokens,total_input_tokens,total_output_tokens,total_tokens_until_stop,extra_tokens_after_first,token_tax
hi_en_SB_009,GPT-4.1 family,gpt-4.1,contract,hi-en,output_language_inference,1,0,0,204,194,10,204,0,1.0
hi_en_SB_010,GPT-4.1 family,gpt-4.1,contract,hi-en,output_language_inference,1,0,0,203,194,9,203,0,1.0
hi_en_SC_001,GPT-4.1 family,gpt-4.1,contract,hi-en,quote_preservation,1,0,0,233,206,27,233,0,1.0
hi_en_SC_002,GPT-4.1 family,gpt-4.1,contract,hi-en,quote_preservation,1,0,0,228,206,22,228,0,1.0
hi_en_SC_003,GPT-4.1 family,gpt-4.1,contract,hi-en,quote_preservation,1,0,0,237,206,31,237,0,1.0
hi_en_SC_004,GPT-4.1 family,gpt-4.1,contract,hi-en,quote_preservation,1,0,0,234,206,28,234,0,1.0
hi_en_SC_005,GPT-4.1 family,gpt-4.1,contract,hi-en,quote_preservation,1,0,0,233,206,27,233,0,1.0
hi_en_SC_006,GPT-4.1 family,gpt-4.1,contract,hi-en,quote_preservation,1,0,0,233,207,26,233,0,1.0
hi_en_SC_007,GPT-4.1 family,gpt-4.1,contract,hi-en,quote_preservation,1,0,0,227,206,21,227,0,1.0
hi_en_SC_008,GPT-4.1 family,gpt-4.1,contract,hi-en,quote_preservation,1,0,0,239,207,32,239,0,1.0
hi_en_SC_009,GPT-4.1 family,gpt-4.1,contract,hi-en,quote_preservation,1,0,0,232,206,26,232,0,1.0
hi_en_SC_010,GPT-4.1 family,gpt-4.1,contract,hi-en,quote_preservation,1,0,0,232,206,26,232,0,1.0
hi_en_SD_001,GPT-4.1 family,gpt-4.1,contract,hi-en,script_register_locale,1,0,0,235,218,17,235,0,1.0
hi_en_SD_002,GPT-4.1 family,gpt-4.1,contract,hi-en,script_register_locale,1,0,0,246,226,20,246,0,1.0
hi_en_SD_003,GPT-4.1 family,gpt-4.1,contract,hi-en,script_register_locale,1,0,0,241,220,21,241,0,1.0
hi_en_SD_004,GPT-4.1 family,gpt-4.1,contract,hi-en,script_register_locale,1,0,0,235,219,16,235,0,1.0
hi_en_SD_005,GPT-4.1 family,gpt-4.1,contract,hi-en,script_register_locale,1,0,0,239,220,19,239,0,1.0
hi_en_SD_006,GPT-4.1 family,gpt-4.1,contract,hi-en,script_register_locale,1,0,0,256,228,28,256,0,1.0
hi_en_SD_007,GPT-4.1 family,gpt-4.1,contract,hi-en,script_register_locale,1,0,0,243,223,20,243,0,1.0
hi_en_SD_008,GPT-4.1 family,gpt-4.1,contract,hi-en,script_register_locale,0,3,1,248,800,69,869,621,3.504032258064516
hi_en_SD_009,GPT-4.1 family,gpt-4.1,contract,hi-en,script_register_locale,1,0,0,237,218,19,237,0,1.0
hi_en_SD_010,GPT-4.1 family,gpt-4.1,contract,hi-en,script_register_locale,1,0,0,238,223,15,238,0,1.0
ar_en_SA_001,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,editing_preservation,0,1,0,112,177,110,287,175,2.5625
ar_en_SA_002,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,editing_preservation,0,1,0,101,162,108,270,169,2.6732673267326734
ar_en_SA_003,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,editing_preservation,0,1,0,112,176,115,291,179,2.5982142857142856
ar_en_SA_004,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,editing_preservation,0,1,0,103,166,104,270,167,2.621359223300971
ar_en_SA_005,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,editing_preservation,0,1,0,120,182,135,317,197,2.6416666666666666
ar_en_SA_006,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,editing_preservation,0,1,0,126,188,137,325,199,2.5793650793650795
ar_en_SA_007,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,editing_preservation,0,1,0,98,158,106,264,166,2.693877551020408
ar_en_SA_008,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,editing_preservation,0,1,0,98,157,102,259,161,2.642857142857143
ar_en_SA_009,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,editing_preservation,0,1,0,110,173,114,287,177,2.609090909090909
ar_en_SA_010,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,editing_preservation,0,1,0,123,185,132,317,194,2.5772357723577235
ar_en_SB_001,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,output_language_inference,1,0,0,49,38,11,49,0,1.0
ar_en_SB_002,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,output_language_inference,1,0,0,47,37,10,47,0,1.0
ar_en_SB_003,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,output_language_inference,1,0,0,48,37,11,48,0,1.0
ar_en_SB_004,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,output_language_inference,1,0,0,48,38,10,48,0,1.0
ar_en_SB_005,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,output_language_inference,1,0,0,51,39,12,51,0,1.0
ar_en_SB_006,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,output_language_inference,1,0,0,43,35,8,43,0,1.0
ar_en_SB_007,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,output_language_inference,1,0,0,43,35,8,43,0,1.0
ar_en_SB_008,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,output_language_inference,1,0,0,44,36,8,44,0,1.0
ar_en_SB_009,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,output_language_inference,1,0,0,47,37,10,47,0,1.0
ar_en_SB_010,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,output_language_inference,1,0,0,46,37,9,46,0,1.0
ar_en_SC_001,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,quote_preservation,1,0,0,67,53,14,67,0,1.0
ar_en_SC_002,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,quote_preservation,1,0,0,67,53,14,67,0,1.0
ar_en_SC_003,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,quote_preservation,1,0,0,69,53,16,69,0,1.0
ar_en_SC_004,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,quote_preservation,1,0,0,67,53,14,67,0,1.0
ar_en_SC_005,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,quote_preservation,1,0,0,67,53,14,67,0,1.0
ar_en_SC_006,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,quote_preservation,1,0,0,69,54,15,69,0,1.0
ar_en_SC_007,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,quote_preservation,1,0,0,67,53,14,67,0,1.0
ar_en_SC_008,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,quote_preservation,1,0,0,71,54,17,71,0,1.0
ar_en_SC_009,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,quote_preservation,1,0,0,67,53,14,67,0,1.0
ar_en_SC_010,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,quote_preservation,1,0,0,67,53,14,67,0,1.0
ar_en_SD_001,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,script_register_locale,0,1,0,76,152,33,185,109,2.4342105263157894
ar_en_SD_002,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,script_register_locale,1,0,0,92,65,27,92,0,1.0
ar_en_SD_003,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,script_register_locale,1,0,0,75,59,16,75,0,1.0
ar_en_SD_004,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,script_register_locale,1,0,0,74,58,16,74,0,1.0
ar_en_SD_005,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,script_register_locale,1,0,0,76,59,17,76,0,1.0
ar_en_SD_006,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,script_register_locale,0,1,0,100,186,61,247,147,2.47
ar_en_SD_007,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,script_register_locale,0,1,0,84,165,43,208,124,2.4761904761904763
ar_en_SD_008,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,script_register_locale,0,2,0,107,364,102,466,359,4.355140186915888
ar_en_SD_009,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,script_register_locale,1,0,0,82,57,25,82,0,1.0
ar_en_SD_010,GPT-4.1 family,gpt-4.1-mini,baseline,ar-en,script_register_locale,0,1,0,94,175,61,236,142,2.5106382978723403
es_en_SA_001,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,0,103,166,103,269,166,2.6116504854368934
es_en_SA_002,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,0,122,181,144,325,203,2.6639344262295084
es_en_SA_003,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,0,92,154,90,244,152,2.652173913043478
es_en_SA_004,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,0,91,152,92,244,153,2.681318681318681
es_en_SA_005,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,0,93,153,96,249,156,2.6774193548387095
es_en_SA_006,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,0,128,188,125,313,185,2.4453125
es_en_SA_007,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,0,120,178,157,335,215,2.7916666666666665
es_en_SA_008,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,0,90,147,90,237,147,2.6333333333333333
es_en_SA_009,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,0,170,231,227,458,288,2.6941176470588237
es_en_SA_010,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,0,77,137,64,201,124,2.6103896103896105
es_en_SB_001,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,0,52,41,11,52,0,1.0
es_en_SB_002,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,0,50,40,10,50,0,1.0
es_en_SB_003,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,0,51,40,11,51,0,1.0
es_en_SB_004,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,0,51,41,10,51,0,1.0
es_en_SB_005,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,0,54,42,12,54,0,1.0
es_en_SB_006,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,0,46,38,8,46,0,1.0
es_en_SB_007,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,0,46,38,8,46,0,1.0
es_en_SB_008,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,0,47,39,8,47,0,1.0
es_en_SB_009,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,0,50,40,10,50,0,1.0
es_en_SB_010,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,0,49,40,9,49,0,1.0
es_en_SC_001,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,0,62,45,17,62,0,1.0
es_en_SC_002,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_003,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,0,61,45,16,61,0,1.0
es_en_SC_004,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_005,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,0,61,45,16,61,0,1.0
es_en_SC_006,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,0,61,46,15,61,0,1.0
es_en_SC_007,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_008,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,0,63,46,17,63,0,1.0
es_en_SC_009,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_010,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,0,61,45,16,61,0,1.0
es_en_SD_001,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,script_register_locale,1,0,0,68,52,16,68,0,1.0
es_en_SD_002,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,script_register_locale,1,0,0,88,60,28,88,0,1.0
es_en_SD_003,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,script_register_locale,1,0,0,72,54,18,72,0,1.0
es_en_SD_004,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,script_register_locale,1,0,0,69,53,16,69,0,1.0
es_en_SD_005,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,script_register_locale,1,0,0,68,54,14,68,0,1.0
es_en_SD_006,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,script_register_locale,1,0,0,88,62,26,88,0,1.0
es_en_SD_007,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,script_register_locale,0,1,0,76,152,37,189,113,2.486842105263158
es_en_SD_008,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,script_register_locale,0,3,1,86,313,73,386,300,4.488372093023256
es_en_SD_009,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,script_register_locale,1,0,0,72,52,20,72,0,1.0
es_en_SD_010,GPT-4.1 family,gpt-4.1-mini,baseline,es-en,script_register_locale,0,1,0,81,157,46,203,122,2.506172839506173
hi_en_SA_001,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,0,80,45,35,80,0,1.0
hi_en_SA_002,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,0,72,41,31,72,0,1.0
hi_en_SA_003,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,0,64,44,20,64,0,1.0
hi_en_SA_004,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,0,77,43,34,77,0,1.0
hi_en_SA_005,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,0,60,42,18,60,0,1.0
hi_en_SA_006,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,0,77,42,35,77,0,1.0
hi_en_SA_007,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,0,72,40,32,72,0,1.0
hi_en_SA_008,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,0,56,39,17,56,0,1.0
hi_en_SA_009,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,0,74,43,31,74,0,1.0
hi_en_SA_010,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,0,79,42,37,79,0,1.0
hi_en_SB_001,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,0,49,38,11,49,0,1.0
hi_en_SB_002,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,0,47,37,10,47,0,1.0
hi_en_SB_003,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,0,48,37,11,48,0,1.0
hi_en_SB_004,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,0,48,38,10,48,0,1.0
hi_en_SB_005,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,0,51,39,12,51,0,1.0
hi_en_SB_006,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,0,43,35,8,43,0,1.0
hi_en_SB_007,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,0,43,35,8,43,0,1.0
hi_en_SB_008,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,0,44,36,8,44,0,1.0
hi_en_SB_009,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,0,47,37,10,47,0,1.0
hi_en_SB_010,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,0,46,37,9,46,0,1.0
hi_en_SC_001,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,quote_preservation,1,0,0,143,49,94,143,0,1.0
hi_en_SC_002,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,quote_preservation,1,0,0,113,49,64,113,0,1.0
hi_en_SC_003,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,quote_preservation,1,0,0,116,49,67,116,0,1.0
hi_en_SC_004,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,quote_preservation,1,0,0,94,49,45,94,0,1.0
hi_en_SC_005,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,quote_preservation,1,0,0,115,49,66,115,0,1.0
hi_en_SC_006,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,quote_preservation,1,0,0,82,50,32,82,0,1.0
hi_en_SC_007,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,quote_preservation,1,0,0,125,49,76,125,0,1.0
hi_en_SC_008,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,quote_preservation,1,0,0,139,50,89,139,0,1.0
hi_en_SC_009,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,quote_preservation,1,0,0,73,49,24,73,0,1.0
hi_en_SC_010,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,quote_preservation,1,0,0,113,49,64,113,0,1.0
hi_en_SD_001,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,script_register_locale,1,0,0,76,61,15,76,0,1.0
hi_en_SD_002,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,script_register_locale,1,0,0,93,69,24,93,0,1.0
hi_en_SD_003,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,script_register_locale,1,0,0,83,63,20,83,0,1.0
hi_en_SD_004,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,script_register_locale,1,0,0,79,62,17,79,0,1.0
hi_en_SD_005,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,script_register_locale,1,0,0,79,63,16,79,0,1.0
hi_en_SD_006,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,script_register_locale,1,0,0,98,71,27,98,0,1.0
hi_en_SD_007,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,script_register_locale,1,0,0,85,66,19,85,0,1.0
hi_en_SD_008,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,script_register_locale,0,2,0,91,328,72,400,309,4.395604395604396
hi_en_SD_009,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,script_register_locale,1,0,0,88,61,27,88,0,1.0
hi_en_SD_010,GPT-4.1 family,gpt-4.1-mini,baseline,hi-en,script_register_locale,1,0,0,84,66,18,84,0,1.0
ar_en_SA_001,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,editing_preservation,1,0,0,242,207,35,242,0,1.0
ar_en_SA_002,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,editing_preservation,1,0,0,248,203,45,248,0,1.0
ar_en_SA_003,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,editing_preservation,1,0,0,232,206,26,232,0,1.0
ar_en_SA_004,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,editing_preservation,0,1,0,247,467,85,552,305,2.2348178137651824
ar_en_SA_005,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,editing_preservation,0,1,0,240,459,70,529,289,2.2041666666666666
ar_en_SA_006,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,editing_preservation,0,1,0,260,479,103,582,322,2.2384615384615385
ar_en_SA_007,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,editing_preservation,1,0,0,234,202,32,234,0,1.0
ar_en_SA_008,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,editing_preservation,0,1,0,236,452,71,523,287,2.2161016949152543
ar_en_SA_009,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,editing_preservation,0,1,0,251,471,87,558,307,2.2231075697211153
ar_en_SA_010,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,editing_preservation,0,1,0,250,469,87,556,306,2.224
ar_en_SB_001,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,output_language_inference,1,0,0,206,195,11,206,0,1.0
ar_en_SB_002,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,output_language_inference,1,0,0,204,194,10,204,0,1.0
ar_en_SB_003,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,output_language_inference,1,0,0,205,194,11,205,0,1.0
ar_en_SB_004,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,output_language_inference,1,0,0,205,195,10,205,0,1.0
ar_en_SB_005,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,output_language_inference,1,0,0,208,196,12,208,0,1.0
ar_en_SB_006,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,output_language_inference,1,0,0,200,192,8,200,0,1.0
ar_en_SB_007,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,output_language_inference,1,0,0,200,192,8,200,0,1.0
ar_en_SB_008,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,output_language_inference,1,0,0,201,193,8,201,0,1.0
ar_en_SB_009,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,output_language_inference,1,0,0,204,194,10,204,0,1.0
ar_en_SB_010,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,output_language_inference,1,0,0,203,194,9,203,0,1.0
ar_en_SC_001,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,quote_preservation,1,0,0,224,210,14,224,0,1.0
ar_en_SC_002,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,quote_preservation,1,0,0,224,210,14,224,0,1.0
ar_en_SC_003,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,quote_preservation,1,0,0,224,210,14,224,0,1.0
ar_en_SC_004,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,quote_preservation,1,0,0,225,210,15,225,0,1.0
ar_en_SC_005,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,quote_preservation,1,0,0,224,210,14,224,0,1.0
ar_en_SC_006,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,quote_preservation,1,0,0,226,211,15,226,0,1.0
ar_en_SC_007,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,quote_preservation,1,0,0,224,210,14,224,0,1.0
ar_en_SC_008,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,quote_preservation,1,0,0,269,211,58,269,0,1.0
ar_en_SC_009,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,quote_preservation,1,0,0,224,210,14,224,0,1.0
ar_en_SC_010,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,quote_preservation,1,0,0,224,210,14,224,0,1.0
ar_en_SD_001,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,script_register_locale,0,1,0,232,465,32,497,265,2.1422413793103448
ar_en_SD_002,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,script_register_locale,1,0,0,253,222,31,253,0,1.0
ar_en_SD_003,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,script_register_locale,1,0,0,232,216,16,232,0,1.0
ar_en_SD_004,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,script_register_locale,1,0,0,230,215,15,230,0,1.0
ar_en_SD_005,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,script_register_locale,1,0,0,233,216,17,233,0,1.0
ar_en_SD_006,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,script_register_locale,0,1,0,257,500,61,561,304,2.1828793774319064
ar_en_SD_007,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,script_register_locale,0,1,0,241,479,43,522,281,2.1659751037344397
ar_en_SD_008,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,script_register_locale,0,3,1,265,845,111,956,691,3.607547169811321
ar_en_SD_009,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,script_register_locale,1,0,0,238,214,24,238,0,1.0
ar_en_SD_010,GPT-4.1 family,gpt-4.1-mini,contract,ar-en,script_register_locale,0,1,0,250,488,59,547,297,2.188
es_en_SA_001,GPT-4.1 family,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,0,236,456,64,520,284,2.2033898305084745
es_en_SA_002,GPT-4.1 family,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,0,229,445,55,500,271,2.183406113537118
es_en_SA_003,GPT-4.1 family,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,0,235,454,61,515,280,2.1914893617021276
es_en_SA_004,GPT-4.1 family,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,0,236,454,65,519,283,2.1991525423728815
es_en_SA_005,GPT-4.1 family,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,0,232,449,56,505,273,2.1767241379310347
es_en_SA_006,GPT-4.1 family,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,0,230,447,56,503,273,2.1869565217391305
es_en_SA_007,GPT-4.1 family,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,0,228,443,55,498,270,2.1842105263157894
es_en_SA_008,GPT-4.1 family,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,0,226,440,51,491,265,2.172566371681416
es_en_SA_009,GPT-4.1 family,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,0,231,449,79,528,297,2.2857142857142856
es_en_SA_010,GPT-4.1 family,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,0,233,450,63,513,280,2.2017167381974247
es_en_SB_001,GPT-4.1 family,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,0,209,198,11,209,0,1.0
es_en_SB_002,GPT-4.1 family,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,0,207,197,10,207,0,1.0
es_en_SB_003,GPT-4.1 family,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,0,208,197,11,208,0,1.0
es_en_SB_004,GPT-4.1 family,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,0,208,198,10,208,0,1.0
es_en_SB_005,GPT-4.1 family,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,0,211,199,12,211,0,1.0
es_en_SB_006,GPT-4.1 family,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,0,203,195,8,203,0,1.0
es_en_SB_007,GPT-4.1 family,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,0,203,195,8,203,0,1.0
es_en_SB_008,GPT-4.1 family,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,0,204,196,8,204,0,1.0
es_en_SB_009,GPT-4.1 family,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,0,207,197,10,207,0,1.0
es_en_SB_010,GPT-4.1 family,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,0,206,197,9,206,0,1.0
es_en_SC_001,GPT-4.1 family,gpt-4.1-mini,contract,es-en,quote_preservation,1,0,0,219,202,17,219,0,1.0
es_en_SC_002,GPT-4.1 family,gpt-4.1-mini,contract,es-en,quote_preservation,1,0,0,217,202,15,217,0,1.0
es_en_SC_003,GPT-4.1 family,gpt-4.1-mini,contract,es-en,quote_preservation,1,0,0,219,202,17,219,0,1.0
es_en_SC_004,GPT-4.1 family,gpt-4.1-mini,contract,es-en,quote_preservation,1,0,0,217,202,15,217,0,1.0
es_en_SC_005,GPT-4.1 family,gpt-4.1-mini,contract,es-en,quote_preservation,1,0,0,218,202,16,218,0,1.0
es_en_SC_006,GPT-4.1 family,gpt-4.1-mini,contract,es-en,quote_preservation,1,0,0,219,203,16,219,0,1.0
